VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90170136;23/6/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;0;18/6/2021;ENTRE RÍOS;SAN BENITO;megatone
1;90196824;23/6/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 140CMX190CM;0;21/6/2021;BUENOS AIRES;MAR DEL PLATA;megatone
1;90197421;23/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 90CMX190CM;0;21/6/2021;CÓRDOBA;ALTO ALBERDI;megatone
1;90223325;23/6/2021;;2;ALMOHADAS L.COPO 70CM;0;22/6/2021;BUENOS AIRES;CHACABUCO;megatone
1;90254105;30/6/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;8;23/6/2021;CÓRDOBA;VILLA CARLOS PAZ;megatone
1;90266367;30/6/2021;;1;ALMOHADAS L.COPO 70CM;0;22/6/2021;BUENOS AIRES;BARADERO;megatone
1;90289779;30/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;24/6/2021;CÓRDOBA;CÓRDOBA;megatone
1;90318880;30/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;25/6/2021;NEUQUÉN;NEUQUÉN;megatone
1;90327659;30/6/2021;;1;ALMOHADAS L.COPO 80CM;0;25/6/2021;BUENOS AIRES;GARIN;megatone
1;90362850;30/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;28/6/2021;SAN LUIS;SAN LUIS;megatone
1;90374119;30/6/2021;;1;ALMOHADAS L.VELLÓN 80CM;0;28/6/2021;BUENOS AIRES;MARTINEZ;megatone
1;90379341;30/6/2021;;2;ALMOHADAS L.PLACA 80CM;0;26/6/2021;BUENOS AIRES;QUILMES OESTE;megatone
1;90381247;30/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;28/6/2021;SANTA FE;RAFAELA;megatone
1;90384498;30/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;8;28/6/2021;CÓRDOBA;JESUS MARIA;megatone
1;90405592;30/6/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;8;29/6/2021;CÓRDOBA;CÓRDOBA;megatone
1;90429030;2/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;30/6/2021;CÓRDOBA;CÓRDOBA;megatone
1;90435291;2/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;8;30/6/2021;SANTA FE;SUNCHALES;megatone
1;90509277;6/7/2021;;1;CONJUNTO L. ATENAS TRADICIONAL 200CMX200CM;0;30/6/2021;BUENOS AIRES;SAN ANDRES;megatone
1;90470436;2/7/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;5;1/7/2021;CORRIENTES;CORRIENTES;megatone
1;90482094;6/7/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 90CMX190CM;0;2/7/2021;CÓRDOBA;PUEBLO SARMIENTO;megatone
;;;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;5;2/7/2021;CÓRDOBA;;megatone
1;90488420;6/7/2021;;1;COLCHÓN L. PREMIUM TRADICIONAL 140CMX190CM;0;2/7/2021;CÓRDOBA;DESPENADEROS;megatone
1;90488366;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;5;2/7/2021;MENDOZA;PALMIRA;megatone
1;90500282;6/7/2021;;2;COLCHÓN L. ROMA TRADICIONAL 90CMX190CM;5;30/6/2021;SANTA FE;SANTO TOME;megatone
1;90503310;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;5;3/7/2021;SANTA FE;ROSARIO;megatone
1;90504284;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;5;3/7/2021;TUCUMÁN;LAS TALITAS;megatone
1;90504715;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;5;3/7/2021;SANTIAGO DEL ESTERO;LAVALLE;megatone
1;90557463;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;5;2/7/2021;CÓRDOBA;GENERAL CABRERA;megatone
1;90522872;6/7/2021;;1;CONJUNTO L. PREMIUM TRADICIONAL 160CMX200CM;0;2/7/2021;CÓRDOBA;CÓRDOBA;megatone
1;90541707;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;5/7/2021;MENDOZA;SAN CARLOS ;megatone
1;90542263;6/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;5/7/2021;CÓRDOBA;BERROTARAN;megatone
1;90543074;13/07/0202;;1;COLCHÓN L. ROMA TRADICIONAL 100CMX190CM;0;5/7/2021;SALTA;SALTA;megatone
1;90548380;6/7/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;5/7/2021;MENDOZA;GODOY CRUZ;megatone
1;90557218;6/7/2021;;1;COLCHÓN L. RIO TRADICIONAL 140CMX190CM;0;5/7/2021;CHUBUT;COMODORO RIVADAVIA;megatone
1;90561279;8/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;5/7/2021;SANTA FE;VENADO TUERTO;megatone
1;90561473;8/7/2021;;1;ALMOHADAS L.COPO 70CM;0;5/7/2021;CAPITAL FEDERAL;CAPITAL FEDERAL;megatone
1;90565876;8/7/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;0;6/7/2021;CÓRDOBA;JESUS MARIA;megatone
