VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90537113;13/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 100CMX190CM;$ 0,00;4/7/2021;BUENOS AIRES;Punta Alta;ecommerce
1;90522695;6/7/2021;;2;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;$ 0,00;4/7/2021;BUENOS AIRES;Maquinista Francisco Savio;ecommerce
1;90546571;6/7/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;BUENOS AIRES;MAR DEL PLATA;ecommerce
1;90560098;13/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;BUENOS AIRES;General Rodriguez;ecommerce
1;90560211;8/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;SANTA FE;Recreo;ecommerce
1;90560385;8/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;CÓRDOBA;Villa Fontana;ecommerce
1;90560515;8/7/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;ENTRE RÍOS; Victoria;ecommerce
1;90568137;8/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;5/7/2021;ENTRE RÍOS;Villa Elisa;ecommerce
1;90568611;8/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;SANTA FE;ESPERANZA;ecommerce
1;90625615;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;5/7/2021;SANTA FE;Rafaela;ecommerce
1;90561282;8/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;5/7/2021;ENTRE RÍOS; Victoria;ecommerce
1;90570607;8/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;RÍO NEGRO;Villa Turísmo;ecommerce
1;-;8/7/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;5/7/2021;SANTA FE;RAFAELA;ecommerce
1;90589674;8/7/2021;;3;ALMOHADAS L.COPO 70CM;$ 0,00;6/7/2021;TIERRA DEL FUEGO;USHUAIA;ecommerce
1;90589935;8/7/2021;;1;COLCHÓN L. REMBRANDT TRADICIONAL 140CMX190CM;$ 0,00;6/7/2021;MENDOZA;Villa nueva . Guaymallen;ecommerce
1;90589751;8/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;6/7/2021;SANTA FE;Roldán;ecommerce
